experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,B0_T,B0_Bx_T,B0_By_T,B0_Bz_T,Bcenter_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,SF,ResidualRatio,SF_Bx,ResidualRatio_Bx,SF_By,ResidualRatio_By,SF_Bz,ResidualRatio_Bz,Qint,g_eff_mm,T_calc_mm,GeometryMismatch_mm,a_expected_from_T_mm,Qratio_L1,Qratio_L2,Qratio_L3,Qratio_L4,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,MaterialVolume_mm3,ScoreWithinExperiment,ScoreGlobal,ScoreMultiObjective
asweep,3,2.5,0.5,0.5,1.7494394e-17,6.8329798e-18,5.6304572e-18,5.0309566e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7494394e-17,0.5,2.5,0,NaN,NaN,NaN,NaN,NaN,6.02506707248185,1.9250350737405,6.02506707248185,190851.75370558,0.420627864387057,0.498679019065295,NaN
asweep,3,3.4,0.8,0.5,1.2217236e-17,5.3544807e-18,3.3289945e-18,3.5337611e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2217236e-17,0.5,3.4,0,NaN,NaN,NaN,NaN,NaN,5.03499351955929,1.60870227743626,5.03499351955929,306719.973955277,0.330821887379329,0.435303135798336,NaN
asweep,3,4,1,0.5,9.959751e-18,4.4829055e-18,2.7807507e-18,2.6960948e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.959751e-18,0.5,4,0,NaN,NaN,NaN,NaN,NaN,4.54607582115121,1.45249095127415,4.54607582115121,384530.940799391,0.292713773101977,0.408923708737031,NaN
asweep,3,4.6,1.2,0.5,8.4908362e-18,3.9925926e-18,2.313202e-18,2.1850416e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4908362e-18,0.5,4.6,0,NaN,NaN,NaN,NaN,NaN,4.1974706270056,1.34111007907052,4.1974706270056,462794.29698562,0.272445595543861,0.395554537043612,NaN
asweep,3,5.5,1.5,0.5,6.9242229e-18,3.40857e-18,1.8457516e-18,1.6699013e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9242229e-18,0.5,5.5,0,NaN,NaN,NaN,NaN,NaN,3.79051268444408,1.21108525054268,3.79051268444408,581037.561281432,0.256929436713768,0.386365312454063,NaN
asweep,3,7,2,0.5,5.3768843e-18,2.8377942e-18,1.3650614e-18,1.1740286e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3768843e-18,0.5,7,0,NaN,NaN,NaN,NaN,NaN,3.34024082710093,1.06722143829356,3.34024082710093,780371.615151705,0.260519631918885,0.392554637038328,NaN
Tcompare,3,10,3,0.5,3.6981286e-18,2.1580921e-18,8.834618e-19,6.5657476e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6981286e-18,0.5,10,0,3,NaN,NaN,NaN,NaN,2.77015097481805,0.885075256744746,2.77015097481805,1187522.02305694,0.899934080686937,0.437344966295013,NaN
Tcompare,3,5,1.33333333333333,0.5,3.6796776e-18,2.1479626e-18,8.7850589e-19,6.5320911e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6796776e-18,0.5,5,0,1.33333333333333,NaN,NaN,NaN,NaN,2.76323180382606,0.88286455158901,2.76323180382606,515221.195188724,0.665313680771159,0.276188658507802,NaN
Tcompare,3,8,2.33333333333333,0.5,3.6796776e-18,2.1479626e-18,8.7850589e-19,6.5320911e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6796776e-18,0.5,8,0,2.33333333333333,NaN,NaN,NaN,NaN,2.76323180382606,0.88286455158901,2.76323180382606,914831.780725346,0.803324530680743,0.371600584998613,NaN
agmatrix,3,1.9,0.5,0.2,1.7401713e-17,6.1586279e-18,5.7553479e-18,5.4877373e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7401713e-17,0.2,1.9,0,NaN,NaN,NaN,NaN,NaN,6.00908621639617,1.9199291208767,6.00908621639617,190286.267027934,0.551264190626887,0.497074504715169,NaN
